,No.,Radical,Pinyin,Meaning,
,920,述,shù,To state,
,921,谢,xiè,To thank,
,922,环,huán,Bracelet,
,923,莫,mò,Do not,
,924,脑,nǎo,Brain,
,925,草,cǎo,Grass,
,926,忽,hū,Suddenly,
,927,侍,shì,Attend on,
,928,静,jìng,Still,
,929,散,sǎn,Leisurely,
,930,判,pàn,To judge,
,931,养,yǎng,Give birth,
,932,积,jī,To amass,
,933,遣,qiǎn,Dispatch,
,934,怪,guài,Queer,
,935,镇,zhèn,Composed,
,936,登,dēng,Scale,
,937,遇,yù,Meet with,
,938,恐,kǒng,Afraid,
,939,唐,táng,Tang dynasty (618-907),
,940,堂,táng,Hall,
,941,诏,zhào,Imperial order,
,942,幸,xìng,Lucky,
,943,排,pái,A platoon,
,944,简,jiǎn,Simple,
,945,宁,níng,Peaceful,
,946,升,shēng,To raise,
,947,检,jiǎn,To check,
,948,铁,tiě,Iron,
,949,顾,gù,Look after,
,950,村,cūn,Village,
,951,读,dòu,Comma,
,952,挥,huī,Scatter,
,953,矣,yǐ,Final part.,
,954,冷,lěng,Cold,
,955,模,mó,Imitate,
,956,佛,fó,Buddha,
,957,杨,yáng,Poplar,
,958,梦,mèng,To dream,
,959,救,jiù,To save,
,960,阵,zhèn,Disposition of troops,
,961,哈,hā,Laughter,
,962,暗,àn,Dark,
,963,买,mǎi,Buy,
,964,督,dū,Supervise,
,965,楚,chǔ,Ancient place name,
,966,配,pèi,To join,
,967,痛,tòng,Ache,
,968,授,shòu,To teach,
,969,肯,kěn,To agree,
,970,占,zhān,To observe,
,971,楼,lóu,House with more than 1 story,
,972,呼,hū,To call,
,973,顺,shùn,To obey,
,974,阴,yīn,Overcast,
,975,吾,wú,I,
,976,奏,zòu,Present a memorial,
,977,固,gù,Hard,
,978,警,jǐng,To alert,
,979,甲,jiǎ,Armor/shell,
,980,担,dān,To undertake,
,981,妈,mā,Ma,
,982,坚,jiān,Strong,
,983,阶,jiē,Rank or step,
,984,忠,zhōng,Loyal,
,985,背,bēi,Carry on one's back,
,986,姓,xìng,Surname,
,987,索,suǒ,To search,
,988,穿,chuān,To bore through,
,989,吴,wú,Province of Jiangsu,
,990,凡,fán,Ordinary,
,991,吉,jí,Lucky,
,992,激,jī,To arouse,
,993,审,shěn,To examine,
,994,剑,jiàn,Sword,
,995,层,céng,A measure word for layers,
,996,洲,zhōu,Continent,
,997,脚,jiǎo,A kick,
,998,乡,xiāng,Country,
,999,沙,shā,Granule,
,1000,托,tuō,To hold in one's hand,
,1001,奉,fèng,To receive (from superior),
,1002,沉,chén,Submerge,
,1003,亡,wáng,To die,
,1004,康,kāng,Peaceful,
,1005,宜,yí,Proper,
,1006,超,chāo,To exceed,
,1007,谋,móu,To plan,
,1008,演,yǎn,To develop,
,1009,协,xié,Cooperate,
,1010,湖,hú,Lake,
,1011,姑,gū,Paternal aunt,
,1012,赵,zhào,Surname,
,1013,付,fù,Pay,
,1014,班,bān,Team,
,1015,招,zhāo,Provoke,
,1016,夏,xià,Summer,
,1017,掌,zhǎng,In charge of,
,1018,减,jiǎn,To lower,
,1019,伊,yī,He,
,1020,妻,qī,Wife,
,1021,鲁,lǔ,Crass,
,1022,野,yě,Field,
,1023,释,shì,Explain,
,1024,亮,liàng,Light,
,1025,顿,dùn,A time,
,1026,录,lù,To record,
,1027,丁,dīng,4th heavenly stem,
,1028,移,yí,To move,
,1029,危,wēi,Danger,
,1030,税,shuì,Taxes,
,1031,座,zuò,Seat,
,1032,优,yōu,Excellent,
,1033,烈,liè,Ardent,
,1034,卡,kǎ,To check,
,1035,丽,lí,Korea,
,1036,遗,yí,To lose,
,1037,画,huà,Draw,
,1038,屋,wū,House,
,1039,您,nín,You (formal),
,1040,慢,màn,Slow,
,1041,露,lù,To show,
,1042,啊,ā,Ah,
,1043,端,duān,End,
,1044,徒,tú,Apprentice,
,1045,坏,huài,Bad,
,1046,杂,zá,Mixed,
,1047,渐,jiān,Imbue,
,1048,藏,cáng,To hide away,
,1049,压,yā,To press,
,1050,贼,zéi,Thief,
,1051,温,wēn,Warm,
,1052,卿,qīng,Minister,
,1053,帮,bāng,To assist,
,1054,松,sōng,Loose,
,1055,换,huàn,Change,
,1056,侯,hóu,Marquis,
,1057,抗,kàng,To resist,
,1058,午,wǔ,11 a.m.-1 p.m.,
,1059,郡,jùn,Canton,
,1060,洋,yáng,Foreign,
,1061,席,xí,Banquet,
,1062,艺,yì,Skill,
,1063,禁,jīn,Endure,
,1064,赶,gǎn,To catch up,
,1065,申,shēn,3-5 p.m.,
,1066,仙,xiān,Immortal,
,1067,误,wù,Mistake,
,1068,钟,zhōng,Clock,
,1069,块,kuāi,Piece,
,1070,饭,fàn,Food,
,1071,迎,yíng,To welcome,
,1072,货,huò,Goods,
,1073,补,bǔ,To repair,
,1074,博,bó,Extensive,
,1075,智,zhì,Wisdom,
,1076,仁,rén,Humane,
,1077,款,kuǎn,Section,
,1078,毕,bì,The whole of,
,1079,延,yán,To prolong,
,1080,隐,yǐn,Secret,
,1081,私,sī,Personal,
,1082,附,fù,To add,
,1083,骑,qí,To ride (an animal or bike),
,1084,郑,zhèng,Surname,
,1085,殿,diàn,Palace hall,
,1086,叶,yè,Leaf,
,1087,虎,hǔ,Tiger,
,1088,载,zǎi,Year,
,1089,航,háng,Boat,
,1090,控,kòng,To accuse,
,1091,刑,xíng,Punishment,
,1092,荣,róng,Glory,
,1093,央,yāng,Beg,
,1094,概,gài,General,
,1095,庄,zhuāng,Farm,
,1096,岛,dǎo,Island,
,1097,脱,tuō,To shed,
,1098,介,jiè,Introduce,
,1099,盖,gài,Lid,
,1100,序,xù,Order,
,1101,秦,qín,Name of a dynasty,
,1102,庭,tíng,Court,
,1103,词,cí,Works,
,1104,睡,shuì,To sleep,
,1105,召,shào,Name of an ancient state,
,1106,怒,nù,Indignant,
,1107,枪,qiāng,Gun,
,1108,跑,pǎo,To run,
,1109,虑,lǜ,Anxiety,
,1110,靠,kào,Depend upon,
,1111,味,wèi,Taste,
,1112,献,xiàn,To offer,
,1113,曲,qǔ,Bent,
,1114,笔,bǐ,Pen,
,1115,雪,xuě,Snow,
,1116,份,fèn,Copy (of newspaper,
,1117,仪,yí,Apparatus,
,1118,困,kǔn,A bunch,
,1119,庆,qìng,Celebrate,
,1120,旁,páng,Beside,
,1121,互,hù,Mutual,
,1122,灭,miè,Extinguish,
,1123,梁,liáng,Beam of roof,
,1124,园,yuán,Garden,
,1125,评,píng,To discuss,
,1126,短,duǎn,Lack,
,1127,编,biān,Weave,
,1128,探,tàn,To explore,
,1129,歌,gē,Song,
,1130,乘,chéng,Ride,
,1131,蒙,mēng,Deceive,
,1132,欧,ōu,Europe,
,1133,洛,luò,Name of a river,
,1134,烟,yān,Cigarette,
,1135,尊,zūn,To honor,
,1136,休,xiū,To rest,
,1137,朋,péng,Friend,
,1138,典,diǎn,Canon,
,1139,架,jià,To support,
,1140,犹,yóu,Jew,
,1141,徐,xú,Slow,
,1142,秘,mì,Secret,
,1143,逃,táo,To escape,
,1144,核,hé,Nuclear,
,1145,雄,xióng,Heroic,
,1146,版,bǎn,A register,
,1147,勒,lè,Rein in,
,1148,泽,zé,Beneficence,
,1149,掉,diào,To drop,
,1150,魏,wèi,Name of a dynasty,
,1151,缺,quē,Lack,
,1152,均,jūn,Equal,
,1153,摇,yáo,Shake,
,1154,喝,hē,My goodness,
,1155,敬,jìng,To respect,
,1156,卖,mài,To sell,
,1157,损,sǔn,To damage,
,1158,卒,cù,Abruptly,
,1159,括,kuò,Enclose,
,1160,域,yù,Field,
,1161,迁,qiān,To move,
,1162,测,cè,Side,
,1163,虚,xū,Devoid of content,
,1164,逐,zhú,To pursue,
,1165,毫,háo,Hair,
,1166,避,bì,Avoid,
,1167,借,jiè,To lend,
,1168,辞,cí,Bid farewell,
,1169,额,é,Volume,
,1170,岸,àn,Bank,
,1171,赐,cì,Confer,
,1172,予,yú,"I, to give",
,1173,舍,shě,Give up,
,1174,洞,dòng,Cave,
,1175,扬,yáng,Hurl,
,1176,湾,wān,Bay,
,1177,馆,guǎn,House,
,1178,舰,jiàn,Warship,
,1179,盛,chéng,To hold,
,1180,巨,jù,Very large,
,1181,板,bǎn,Board,
,1182,材,cái,Material,
,1183,鲜,xiān,Fresh,
,1184,输,shū,To transport,
,1185,遍,biàn,A time,
,1186,含,hán,To keep,
,1187,择,zé,To select,
,1188,秀,xiù,Handsome,
,1189,毒,dú,Poison,
,1190,篇,piān,Sheet,
,1191,兼,jiān,Double,
,1192,婚,hūn,To marry,
,1193,呀,yā,Final part.,
,1194,妹,mèi,Younger sister,
,1195,伦,lún,Human relationship,
,1196,访,fǎng,Inquire,
,1197,陵,líng,Mound,
,1198,弄,lòng,Lane,
,1199,诚,chéng,Honest,
,1200,炮,pào,Cannon,
,1201,盘,pán,Big,
,1202,旅,lǚ,Trip,
,1203,店,diàn,Inn,
,1204,销,xiāo,To melt,
,1205,疾,jí,Sickness,
,1206,俄,é,Suddenly,
,1207,末,mò,End,
,1208,贤,xián,Worthy (person),
,1209,孝,xiào,Filial,
,1210,哭,kū,To cry,
,1211,床,chuáng,Bed,
,1212,吏,lì,Minor official,
,1213,健,jiàn,Healthy,
,1214,朱,zhū,Vermilion,
,1215,戏,xì,Trick,
,1216,票,piào,Bank note,
,1217,晋,jìn,Name of a dynasty,
,1218,韩,hán,South Korea,
,1219,岂,qǐ,How can it be that,
,1220,迹,jī,Footprint,
,1221,伏,fú,Conceal (ambush),
,1222,忘,wàng,To forget,
,1223,剧,jù,Drama,
,1224,奔,bēn,To hurry or rush,
,1225,顶,dǐng,Go against,
,1226,油,yóu,Oil,
,1227,跳,tiào,Jump,
,1228,弃,qì,Abandon,
,1229,睛,jīng,Eye,
,1230,彼,bǐ,That,
,1231,厚,hòu,Generous,
,1232,练,liàn,To practice,
,1233,暴,bào,Sudden,
,1234,训,xùn,Example,
,1235,丝,sī,Silk,
,1236,纸,zhǐ,Paper,
,1237,珠,zhū,Bead,
,1238,尤,yóu,Outstanding,
,1239,丈,zhàng,Ten feet,
,1240,束,shù,Bunch,
,1241,唯,wéi,Err:509,
,1242,嘴,zuǐ,Mouth,
,1243,港,gǎng,Harbor,
,1244,吸,xī,To breathe,
,1245,孔,kǒng,Hole,
,1246,弱,ruò,Weak,
,1247,折,zhé,Broken (as of rope,
,1248,灯,dēng,Lamp,
,1249,震,zhèn,Shake,
,1250,替,tì,To substitute for,
,1251,诺,nuò,To promise,
,1252,翻,fān,Flit about,
,1253,塞,sāi,Stop up,
,1254,梅,méi,Plum flower,
,1255,舞,wǔ,To dance,
,1256,丹,dān,Red,
,1257,赞,zàn,To praise,
,1258,遭,zāo,A time,
,1259,廷,tíng,Palace courtyard,
,1260,熟,shú,Familiar,
,1261,雅,yǎ,Elegant,
,1262,疗,liáo,To treat,
,1263,婆,pó,Grandmother,
,1264,庙,miào,Temple,
,1265,库,kù,Warehouse,
,1266,袭,xí,Inherit,
,1267,叔,shū,Uncle in direct address,
,1268,尝,cháng,Indicator of past tense,
,1269,凤,fèng,Phoenix,
,1270,侵,qīn,To invade,
,1271,赏,shǎng,Enjoy the beauty of,
,1272,抚,fǔ,To comfort,
,1273,忍,rěn,To beat,
,1274,醒,xǐng,To wake up,
,1275,默,mò,Silent,
,1276,拥,yōng,Gather round,
,1277,迫,pò,To force,
,1278,绿,lǜ,Green,
,1279,奥,ào,Obscure,
,1280,勇,yǒng,Brave,
,1281,街,jiē,Street,
,1282,昌,chāng,Prosperous,
,1283,缘,yuán,Along,
,1284,累,lèi,Cumbersome,
,1285,轮,lún,Wheel,
,1286,抱,bào,To hold,
,1287,窗,chuāng,Shutter,
,1288,抓,zhuā,To grab,
,1289,废,fèi,Abolish,
,1290,冰,bīng,Ice,
,1291,振,zhèn,Rouse,
,1292,童,tóng,Boy,
,1293,丰,fēng,Buxom,
,1294,玩,wán,Curios,
,1295,宽,kuān,Lenient,
,1296,萨,sà,Bodhisattva,
,1297,夺,duó,Rob,
,1298,杜,dù,Fabricate,
,1299,焉,yān,Where,
,1300,潜,qián,Hidden,
,1301,趣,qù,Interesting,
,1302,抵,dǐ,Hold up,
,1303,隆,lōng,Sound of drums,
,1304,符,fú,Mark,
,1305,乌,wū,A crow,
,1306,役,yì,Service,
,1307,俱,jū,Entirely,
,1308,伙,huǒ,Assistant,
,1309,炸,zhá,Fry,
,1310,塔,tǎ,Pagoda,
,1311,罚,fá,To punish,
,1312,茶,chá,Tea,
,1313,坦,tǎn,Flat,
,1314,彩,cǎi,Color,
,1315,曹,cáo,A company,
,1316,泰,tài,Safe,
,1317,叹,tàn,To sigh,
,1318,础,chǔ,Foundation,
,1319,途,tú,Way,
,1320,奶,nǎi,Breast,
,1321,寒,hán,Cold,
,1322,残,cán,Destroy,
,1323,寿,shòu,Life,
,1324,患,huàn,Misfortune,
,1325,奴,nú,Slave,
,1326,晓,xiǎo,Dawn,
,1327,恨,hèn,To hate,
,1328,悲,bēi,Sad,
,1329,猛,měng,Ferocious,
,1330,圆,yuán,Circle,
,1331,缓,huǎn,Slow,
,1332,冬,dōng,Winter,
,1333,丧,sāng,Mourning,
,1334,帅,shuài,Handsome,
,1335,软,ruǎn,Soft,
,1336,握,wò,Shake hands,
,1337,纵,zōng,Vertical,
,1338,巡,xún,To patrol,
,1339,筑,zhú,Build,
,1340,饮,yǐn,Drink,
,1341,崇,chóng,High,
,1342,贾,gǔ,Merchant,
,1343,洪,hóng,Flood,
,1344,耶,yē,Final part.,
,1345,操,cāo,To hold,
,1346,烧,shāo,To burn,
,1347,妙,miào,Clever,
,1348,赛,sài,To compete,
,1349,摆,bǎi,Pendulum,
,1350,尉,wèi,Milit. official,
,1351,宇,yǔ,Room,
,1352,稳,wěn,Settled,
,1353,惟,wéi,#NAME?,
,1354,粮,liáng,Provisions,
,1355,森,sēn,Forest,
,1356,绍,shào,Connect,
,1357,陷,xiàn,To fall,
,1358,杰,jié,Hero,
,1359,偏,piān,One-sided,
,1360,孤,gū,Lone,
,1361,违,wéi,To disobey,
,1362,悉,xī,In all cases,
,1363,毁,huǐ,To destroy,
,1364,援,yuán,To help,
,1365,纯,chún,Pure,
,1366,巧,qiǎo,Opportunely,
,1367,横,héng,Horizontal,
,1368,迷,mí,Bewilder,
,1369,爸,bà,Father,
,1370,旨,zhǐ,Imperial decree,
,1371,闲,xián,To stay idle,
,1372,俗,sú,Vulgar,
,1373,番,fān,Deeds,
,1374,季,jì,Season,
,1375,聚,jù,Form gathering,
,1376,亿,yì,A hundred million,
,1377,套,tào,To cover,
,1378,灾,zāi,Disaster,
,1379,泪,lèi,Tears,
,1380,忧,yōu,Worried,
,1381,狂,kuáng,Conceited,
,1382,喊,hǎn,Call,
,1383,戴,dài,To put on,
,1384,纷,fēn,Numerous,
,1385,透,tòu,To penetrate,
,1386,蒋,jiǎng,Surname,
,1387,析,xī,To separate,
,1388,浪,làng,Wave,
,1389,盟,méng,Oath,
,1390,薄,báo,Mean,
,1391,殊,shū,Unique,
,1392,阻,zǔ,To hinder,
,1393,竞,jìng,To compete,
,1394,旗,qí,Banner,
,1395,闪,shǎn,Flash,
,1396,柳,liǔ,Willow,
,1397,姆,mǔ,Governess,
,1398,扩,kuò,Enlarge,
,1399,允,yǔn,Just,
,1400,驾,jià,To drive,
,1401,混,hún,Confused,
,1402,僧,sēng,Monk,
,1403,植,zhí,To plant,
,1404,哲,zhé,Philosophy,
,1405,穷,qióng,Exhausted,
,1406,埃,āi,Dirt,
,1407,旦,dàn,Dawn,
,1408,伟,wěi,Big,
,1409,桥,qiáo,Bridge,
,1410,珍,zhēn,Precious thing,
,1411,促,cù,To hurry,
,1412,嘉,jiā,Excellent,
,1413,烦,fán,Feel vexed,
,1414,燕,yān,Place name,
,1415,祭,jì,Offer sacrifice,
,1416,墙,qiáng,Wall,
,1417,径,jìng,Path,
,1418,购,gòu,To buy,
,1419,拍,pāi,To clap,
,1420,尺,chǐ,A Chinese foot (M),
,1421,伸,shēn,To stretch,
,1422,仲,zhòng,2nd in seniority,
,1423,挂,guà,Hang,
,1424,币,bì,Money,
,1425,洗,xǐ,To wash,
,1426,贫,pín,Poor,
,1427,启,qǐ,To open,
,1428,距,jù,At a distance of,
,1429,劝,quàn,To advise,
,1430,盗,dào,Steal,
,1431,努,nǔ,To exert,
,1432,桌,zhuō,Table,
,1433,仆,pū,Fall prostrate,
,1434,染,rǎn,To catch (a disease),
,1435,厅,tīng,Hall,
,1436,针,zhēn,Injection,
,1437,疏,shū,Negligent,
,1438,贸,mào,Commerce,
,1439,荒,huāng,Out of practice,
,1440,裁,cái,Cut out (as a dress),
,1441,迅,xùn,Rapid,
,1442,阁,gé,Council-chamber,
,1443,惠,huì,Favor,
,1444,迟,chí,Late,
,1445,沿,yán,Along,
,1446,享,xiǎng,Enjoy,
,1447,闭,bì,To close,
,1448,侧,cè,The side,
,1449,拔,bá,Pull up,
,1450,贡,gòng,Tribute,
,1451,凶,xiōng,Fierce,
,1452,捕,bǔ,To catch,
,1453,唱,chàng,Sing,
,1454,措,cuò,Put in order,
,1455,丞,chéng,Deputy,
,1456,抽,chōu,To draw out,
,1457,课,kè,Subject,
,1458,闹,nào,Make noise or disturbance,
,1459,尾,wěi,Tail,
,1460,络,lào,Small net,
,1461,杯,bēi,Cup,
,1462,衡,héng,To weigh,
,1463,翼,yì,Wing,
,1464,汝,rǔ,Thou,
,1465,稍,shāo,Somewhat,
,1466,愈,yù,Heal,
,1467,蓝,la,Kohlrabi,
,1468,颜,yán,Color,
,1469,邪,xié,Demonical,
,1470,瑞,ruì,Lucky,
,1471,丑,chǒu,2nd Earthly Branch,
,1472,宿,sù,Lodge for the night,
,1473,壁,bì,Wall,
,1474,芳,fāng,Fragrant,
,1475,售,shòu,To sell,
,1476,倾,qīng,To overturn,
,1477,咱,zá,We (incl.),
,1478,冒,mào,Brave,
,1479,宾,bīn,Visitor,
,1480,魔,mó,Devil,
,1481,摩,mó,Rub,
,1482,硬,yìng,Hard,
,1483,署,shǔ,Office,
,1484,寺,sì,Buddhist temple,
,1485,牌,pái,Cards,
,1486,恰,qià,Exactly,
,1487,魂,hún,Soul,
,1488,偷,tōu,To steal,
,1489,紫,zǐ,Purple,
,1490,淮,huái,Name of a river,
,1491,弗,fú,Not,
,1492,菜,cài,Dish (type of food),
,1493,莱,lái,Chenopodium album,
,1494,涉,shè,Involve,
,1495,驻,zhù,Resident in,
,1496,狱,yù,Prison,
,1497,孟,mèng,First month,
,1498,昭,zhāo,Illustrious,
,1499,吹,chuī,To blow,
,1500,镜,jìng,Mirror,
,1501,狗,gǒu,Dog,
,1502,融,róng,Harmonious,
,1503,拒,jù,To resist,
,1504,渡,dù,To cross,
,1505,骸,hái,Bones of the body,
,1506,惧,jù,To fear,
,1507,肃,sù,Gansu,
,1508,培,péi,To cultivate,
,1509,冠,guān,Hat,
,1510,彻,chè,Pervade,
,1511,井,jǐng,Warn,
,1512,俊,jùn,Smart,
,1513,骂,mà,Scold,
,1514,触,chù,Knock against,
,1515,订,dìng,To agree,
,1516,赖,lài,Disclaim,
,1517,怨,yuàn,Blame,
,1518,搞,gǎo,To do,
,1519,仰,yǎng,Look up,
,1520,恭,gōng,Respectful,
,1521,隔,gé,To separate,
,1522,爵,jué,Nobility,
,1523,朗,lǎng,Clear,
,1524,详,xiáng,Detailed,
,1525,译,yì,To translate,
,1526,净,jìng,Clean,
,1527,枝,zhī,Branch,
,1528,繁,fán,Complicated,
,1529,侠,xiá,Heroic,
,1530,浮,fú,To float,
,1531,奋,fèn,Exert oneself,
,1532,汇,huì,Remit,
,1533,暂,zàn,Temporarily,
,1534,吕,lǚ,Surname,
,1535,奖,jiǎng,Prize,
,1536,幽,yōu,Quiet,
,1537,垂,chuí,To hang (down),
,1538,耐,nài,To be unbearable,
,1539,津,jīn,Tianjin,
,1540,宪,xiàn,Statute,
,1541,眉,méi,Eyebrow,
,1542,戒,jiè,Swear off,
,1543,啦,lā,Auxiliary mood particle,
,1544,签,qiān,Sign one's name,
,1545,邦,bāng,A state,
,1546,宰,zǎi,Slaughter,
,1547,颇,pō,Quite,
,1548,讯,xùn,To question,
,1549,伴,bàn,A partner,
,1550,壮,zhuàng,To strengthen,
,1551,灰,huī,Gray,
,1552,帐,zhàng,Account,
,1553,昨,zuó,Yesterday,
,1554,厉,lì,Severe,
,1555,籍,jí,Record,
,1556,贯,guàn,Pierce,
,1557,贺,hè,Congratulate,
,1558,惯,guàn,Accustomed to,
,1559,挑,tiāo,Carry on a pole,
,1560,鸡,jī,Fowl,
,1561,奈,nài,How can one help,
,1562,伐,fá,Cut down; fell,
,1563,偶,ǒu,Accidental,
,1564,惜,xī,Pity,
,1565,胆,dǎn,The gall,
,1566,陛,bì,The steps to the throne,
,1567,淡,dàn,Insipid,
,1568,旋,xuán,Revolve,
,1569,沈,chén,Sink,
,1570,懂,dǒng,To understand,
,1571,凭,píng,Lean against,
,1572,辈,bèi,Contemporaries,
,1573,岳,yuè,Mountain,
,1574,障,zhàng,To block,
,1575,倍,bèi,-fold,
,1576,仇,chóu,Hatred,
,1577,萧,xiāo,Mournful,
,1578,辩,biàn,Dispute,
,1579,曼,màn,Handsome,
,1580,妖,yāo,Goblin,
,1581,赋,fù,Poetic essay,
,1582,卢,lú,Surname,
,1583,抬,tái,To lift,
,1584,仿,fǎng,To imitate,
,1585,债,zhài,Debt,
,1586,赴,fù,Go towards,
,1587,泉,quán,Fountain,
,1588,汽,qì,Steam,
,1589,幕,mù,Stage curtain,
,1590,播,bō,Sow,
,1591,恢,huī,To restore,
,1592,奸,jiān,Traitor,
,1593,零,líng,Remnant,
,1594,潮,cháo,Tide,
,1595,呆,dāi,Foolish,
,1596,朔,shuò,Beginning,
,1597,刊,kān,To print,
,1598,禄,lù,Good fortune,
,1599,桑,sāng,Mulberry tree,
,1600,汤,tāng,Soup,
,1601,鸣,míng,To cry (of birds),
,1602,幼,yòu,Young,
,1603,悄,qiǎo,Quiet,
,1604,撤,chè,Remove,
,1605,斩,zhǎn,Behead,
,1606,炎,yán,Flame,
,1607,箭,jiàn,Arrow,
,1608,慈,cí,Compassionate,
,1609,荡,dàng,A pond,
,1610,泛,fàn,Broad,
,1611,郭,guō,Outer city wall,
,1612,缩,suō,To withdraw,
,1613,扶,fú,To support with hand,
,1614,艾,ài,Artemisia vulgaris,
,1615,赠,zèng,Give present,
,1616,玛,mǎ,Agate,
,1617,昏,hūn,Muddle-headed,
,1618,映,yìng,Reflect,
,1619,腰,yāo,Waist,
,1620,晨,chén,Morning,
,1621,豪,háo,Grand,
,1622,貌,mào,Appearance,
,1623,赫,hè,Awe-inspiring,
,1624,描,miáo,Depict,
,1625,岩,yán,Cliff,
,1626,袋,dài,A pouch,
,1627,胸,xiōng,Chest,
,1628,池,chí,Pond,
,1629,勤,qín,Diligent,
,1630,祥,xiáng,Auspicious,
,1631,穆,mù,Solemn,
,1632,粗,cū,Coarse,
,1633,裂,liè,Crack,
,1634,荷,hé,Lotus,
,1635,凉,liáng,Cool,
,1636,症,zhēng,Obstruction of bowels,
,1637,汗,hàn,Perspiration,
,1638,贞,zhēn,Chaste,
,1639,彭,péng,Surname,
,1640,敏,mǐn,Keen,
,1641,寄,jì,Lodge at,
,1642,租,zū,Rent,
,1643,爆,bào,To crack,
,1644,哀,āi,Sorrow,
,1645,润,rùn,Smooth,
,1646,舒,shū,Relax,
,1647,腿,tuǐ,Leg,
,1648,册,cè,Book,
,1649,轰,hōng,Explosion,
,1650,掩,yǎn,Cover up,
,1651,祝,zhù,Invoke,
,1652,祸,huò,Disaster,
,1653,摸,mō,Feel with the hand,
,1654,忆,yì,Remember,
,1655,偿,cháng,To compensate,
,1656,抢,qiāng,Against wind,
,1657,怜,lián,To pity,
,1658,摄,shè,Assist,
,1659,牧,mù,Shepherd,
,1660,丙,bǐng,The third of the ten heavenly stems,
,1661,绪,xù,Beginnings,
,1662,逼,bī,Close to,
,1663,傅,fù,Tutor,
,1664,乏,fá,Short of,
,1665,堆,duī,A pile,
,1666,庚,gēng,7th heavenly stem,
,1667,辅,fǔ,To assist,
,1668,瞧,qiáo,Look at,
,1669,尖,jiān,Point (of needle),
,1670,董,dǒng,Supervise,
,1671,惑,huò,Confuse,
,1672,扰,rǎo,Disturb,
,1673,趋,qū,To hasten,
,1674,黎,lí,Black,
,1675,哉,zāi,Exclamatory or interrog. part.,
,1676,佳,jiā,Excellent,
,1677,返,fǎn,To return (to),
,1678,阅,yuè,Peruse,
,1679,屈,qū,Bent,
,1680,吐,tǔ,To spit,
,1681,薛,xuē,Wormwood,
,1682,圈,juān,To confine,
,1683,扫,sǎo,To sweep,
,1684,驱,qū,To expel,
,1685,墨,mò,China ink,
,1686,碎,suì,To break down,
,1687,吓,xià,To frighten,
,1688,估,gū,Estimate,
,1689,劲,jìn,Strength,
,1690,锦,jǐn,Brocade,
,1691,慰,wèi,Reassure,
,1692,肩,jiān,Shoulder,
,1693,醉,zuì,Intoxicated,
,1694,剩,shèng,Have as remainder,
,1695,逆,nì,Contrary,
,1696,盐,yán,Salt,
,1697,邓,dèng,Deng (Xiaoping),
,1698,递,dì,To hand over,
,1699,粉,fěn,Dust,
,1700,牵,qiān,Lead along,
,1701,辽,liáo,Liaoning,
,1702,遵,zūn,To observe,
,1703,陶,táo,Pottery,
,1704,翰,hàn,Pen,
,1705,寇,kòu,Bandit,
,1706,悦,yuè,Pleased,
,1707,唤,huàn,To call,
,1708,遥,yáo,Distant,
,1709,艘,sāo,Measure word for warships (Taiwan pronunciation),
,1710,扎,zhā,To tie,
,1711,乾,gān,Dry,
,1712,叛,pàn,To betray,
,1713,碰,pèng,To touch,
,1714,污,wū,See 污,
,1715,伍,wǔ,Associate with,
,1716,叙,xù,Narrate,
,1717,峰,fēng,Peak,
,1718,饰,shì,Adorn,
,1719,佩,pèi,To respect,
,1720,绕,rào,Go around,
,1721,溃,kuì,Be dispersed,
,1722,慌,huāng,Nervous,
,1723,糊,hú,Muddled,
,1724,匹,pī,Mate,
,1725,伪,wěi,False,
,1726,腹,fù,Abdomen,
,1727,挺,tǐng,Be straight and stiff,
,1728,幻,huàn,Fantasy,
,1729,辑,jí,Gather up,
,1730,撒,sā,Let go,
,1731,贴,tiē,To stick,
,1732,泥,ní,Mud,
,1733,媒,méi,Medium,
,1734,壬,rén,9th heavenly stem,
,1735,慧,huì,Intelligent,
,1736,仔,zī,Duty,
,1737,葬,zàng,Bury (the dead),
,1738,胞,bāo,The placenta,
,1739,乞,qǐ,Beg,
,1740,亭,tíng,Pavilion,
,1741,尘,chén,Dust,
,1742,码,mǎ,A weight,
,1743,欣,xīn,Happy,
,1744,邻,lín,Neighbor,
,1745,恋,liàn,Feel attached to,
,1746,辆,liàng,A measure word for vehicles,
,1747,焦,jiāo,Burnt,
,1748,嗣,sì,To connect,
,1749,乔,qiáo,Tall,
,1750,呈,chéng,To assume (a form),
,1751,霍,huò,Cholera,
,1752,拟,nǐ,Plan to,
,1753,箱,xiāng,Box,
,1754,跃,yuè,To jump,
,1755,仗,zhàng,Battle,
,1756,莲,lián,Lotus,
,1757,覆,fù,To cover,
,1758,锁,suǒ,To lock up,
,1759,咸,xián,All,
,1760,铺,pū,To spread,
,1761,陪,péi,To accompany,
,1762,爬,pá,Crawl,
,1763,戊,wù,5th heavenly stem,
,1764,勿,wù,Do not,
,1765,飘,piāo,To float,
,1766,仓,cāng,Barn,
,1767,诛,zhū,Execute,
,1768,漫,màn,Free,
,1769,夷,yí,A barbarian,
,1770,悟,wù,Comprehend,
,1771,撰,zhuàn,Compose,
,1772,愤,fèn,Indignant,
,1773,辉,huī,Bright,
,1774,滑,gǔ,Comical,
,1775,幅,fú,Width,
,1776,廉,lián,Incorrupt,
